policy,regime,slots,arrivals,alerts,packet_drop_rate,mean_packet_queue,explanation_coverage,mean_explanation_debt,final_explanation_debt,leakage_used,leakage_violation_rate,offload_rate,audit_rate,redaction_rate,attacker_trigger_gain
never_explain,poisson,5000,289496,52065,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
always_explain,poisson,5000,289756,66754,0.614265105813167,119.7293,1.0,0.0,0.0,66754.0,0.9888,0.0,0.0,0.0,0.0
threshold_explain,poisson,5000,289766,51946,0.0,8.9626,0.3564663304200516,0.0,0.0,18517.0,0.9574,0.0,0.0,0.0,0.0
rate_limited,poisson,5000,290123,52133,0.0,0.0986,0.09301881725588029,0.0,0.0,1939.7400000002076,0.62,0.0,0.0,0.0,0.0
fifo_explanation,poisson,5000,290460,57156,0.004608207670591475,82.03017999999975,0.556319546504304,8291.563056000125,16509.960000000345,25034.599999984614,0.9702,0.0,0.0,0.0,0.0
static_offload,poisson,5000,289972,51879,0.0,0.04298999999999998,0.5405655467526987,0.0,0.0,22785.750000007858,0.968,0.6757069334412769,0.0,0.0,0.0
budget_only_bexgov,poisson,5000,289783,52422,0.0,1.247620000000001,0.2561376902827057,9834.957936000255,20161.440000000366,3140.6500000026426,0.913,0.0,0.0,0.0,0.0
xai_gate,poisson,5000,291275,52303,0.0,0.4946,0.3037712941894892,0.0,0.0,7614.060000001732,0.9008,0.0,0.0,0.0,0.0
never_explain,bursty,5000,344671,68480,0.0754168467901274,29.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
always_explain,bursty,5000,343917,78821,0.7231890252590014,119.8167,1.0,0.0,0.0,78821.0,0.9888,0.0,0.0,0.0,0.0
threshold_explain,bursty,5000,344225,68431,0.21227975887864042,39.2628,0.3580394850287151,0.0,0.0,24501.0,0.96,0.0,0.0,0.0,0.0
rate_limited,bursty,5000,344624,68062,0.09492882097590417,30.1529,0.09308351209193527,0.0,0.0,2534.179999999779,0.7168,0.0,0.0,0.0,0.0
fifo_explanation,bursty,5000,345671,72069,0.09923250721061364,91.66157999999974,0.43120134870748866,17879.936183999955,34938.3599999999,20144.849999978433,0.9696,0.0,0.0,0.0,0.0
static_offload,bursty,5000,344031,68207,0.10620074935107592,30.22963000000001,0.5427595408095126,0.0,0.0,30078.750000024185,0.967,0.6784494260119929,0.0,0.0,0.0
budget_only_bexgov,bursty,5000,343981,68522,0.07731066541465953,33.474099999999986,0.15802588949534457,3300.878016000084,6967.080000000268,3541.650000005146,0.9694,0.0,0.0,0.0,0.0
xai_gate,bursty,5000,344458,68379,0.08398367870683797,30.49405,0.20918922476193866,0.0,0.0,6364.200000000167,0.8686,0.0013454423141607804,0.08770236476111087,0.0,0.0
never_explain,non_markovian,5000,298402,53817,0.0,0.0222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
always_explain,non_markovian,5000,300214,69213,0.6533039764967656,119.8164,1.0,0.0,0.0,69213.0,0.9894,0.0,0.0,0.0,0.0
threshold_explain,non_markovian,5000,300152,56471,0.016068525280524534,36.1009,0.360273414673018,0.0,0.0,20345.0,0.9648,0.0,0.0,0.0,0.0
rate_limited,non_markovian,5000,299802,53999,0.0,0.2224,0.09436748828683658,0.0,0.0,2038.3000000002198,0.6288,0.0,0.0,0.0,0.0
fifo_explanation,non_markovian,5000,298397,58880,0.0060261999953082615,84.00613999999996,0.5246900475543478,9495.553176000109,18831.600000000137,23430.749999983876,0.9666,0.0,0.0,0.0,0.0
static_offload,non_markovian,5000,300648,54408,0.0,0.15999000000000013,0.5434053815612019,0.0,0.0,24022.050000010626,0.9704,0.6792567269519189,0.0,0.0,0.0
budget_only_bexgov,non_markovian,5000,299362,53681,0.0,0.7538000000000007,0.25281757046254727,10693.006272000244,21797.2800000002,2918.3000000018264,0.8074,0.0,0.0,0.0,0.0
xai_gate,non_markovian,5000,299407,54078,0.0,1.3254,0.3044398831316261,0.0,0.0,7860.400000002058,0.9022,0.0,0.0,0.0,0.0
never_explain,adversarial_explanation_flood,5000,474751,201193,0.16752360711193867,58.5806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4237863637991284
always_explain,adversarial_explanation_flood,5000,473476,213067,0.9152649764718803,119.9872,1.0,0.0,0.0,213067.0,0.9958,0.0,0.0,0.0,0.4500059137105154
threshold_explain,adversarial_explanation_flood,5000,474420,213615,0.9068304455967287,119.9878,0.6008145495400604,0.0,0.0,128343.0,0.9926,0.0,0.0,0.0,0.45026558745415457
rate_limited,adversarial_explanation_flood,5000,474292,212943,0.27608677776559587,115.49625,0.11771859136003339,0.0,0.0,10026.939999997638,0.9312,0.0,0.0,0.0,0.4489702546110835
fifo_explanation,adversarial_explanation_flood,5000,474669,213171,0.24744021623489204,117.50279999999994,0.2504925623091321,97652.0155680002,194102.27999999942,10791.549999983588,0.939,0.0,0.0,0.0,0.4490940002401674
static_offload,adversarial_explanation_flood,5000,473250,212883,0.36715435816164826,119.52162,0.6875363462564603,0.0,0.0,118921.3999996255,0.9922,0.8594204328199058,0.0,0.0,0.44983201267828843
budget_only_bexgov,adversarial_explanation_flood,5000,474942,211011,0.1733559045104455,107.07231999999983,0.04415646577666567,3009.911472000166,4532.760000000486,1883.4999999988345,0.6434,0.0,0.0,0.0,0.44428793410563816
xai_gate,adversarial_explanation_flood,5000,474758,213696,0.2507581757442734,117.99837000000011,0.16724693021834403,0.0,0.0,10158.159999993339,0.9232,0.019176774483378258,0.42894111260856543,0.0,0.4501156378618159
