score,true_label,attack_family,cost_proxy,score_source
0.111087,0,normal,0.272207,kddcup99_no_training_proxy
0.190000,0,normal,0.373500,kddcup99_no_training_proxy
0.172283,0,normal,0.361984,kddcup99_no_training_proxy
0.077935,0,normal,0.250658,kddcup99_no_training_proxy
0.190000,0,normal,0.373500,kddcup99_no_training_proxy
0.106630,0,normal,0.269310,kddcup99_no_training_proxy
0.172283,0,normal,0.361984,kddcup99_no_training_proxy
0.091304,0,normal,0.259348,kddcup99_no_training_proxy
0.063440,0,normal,0.241236,kddcup99_no_training_proxy
0.090588,0,normal,0.258882,kddcup99_no_training_proxy
0.063587,0,normal,0.241332,kddcup99_no_training_proxy
0.230000,0,normal,0.399500,kddcup99_no_training_proxy
0.146087,0,normal,0.294957,kddcup99_no_training_proxy
0.074348,0,normal,0.248326,kddcup99_no_training_proxy
0.095870,0,normal,0.262315,kddcup99_no_training_proxy
0.190000,0,normal,0.373500,kddcup99_no_training_proxy
0.124565,0,normal,0.280967,kddcup99_no_training_proxy
0.190000,0,normal,0.373500,kddcup99_no_training_proxy
0.201822,0,normal,0.381184,kddcup99_no_training_proxy
0.430000,0,normal,0.579500,kddcup99_no_training_proxy
0.101087,0,normal,0.265707,kddcup99_no_training_proxy
0.156848,0,normal,0.301951,kddcup99_no_training_proxy
0.060000,0,normal,0.239000,kddcup99_no_training_proxy
0.230000,0,normal,0.399500,kddcup99_no_training_proxy
0.071848,0,normal,0.246701,kddcup99_no_training_proxy
0.060000,0,normal,0.239000,kddcup99_no_training_proxy
0.063587,0,normal,0.241332,kddcup99_no_training_proxy
0.143804,0,normal,0.293473,kddcup99_no_training_proxy
0.060000,0,normal,0.239000,kddcup99_no_training_proxy
0.233043,0,normal,0.401478,kddcup99_no_training_proxy
0.156848,0,normal,0.301951,kddcup99_no_training_proxy
0.190000,0,normal,0.373500,kddcup99_no_training_proxy
0.092283,0,normal,0.259984,kddcup99_no_training_proxy
0.062174,0,normal,0.240413,kddcup99_no_training_proxy
0.260000,0,normal,0.369000,kddcup99_no_training_proxy
0.147339,0,normal,0.295770,kddcup99_no_training_proxy
0.423271,0,normal,0.575126,kddcup99_no_training_proxy
0.103804,0,normal,0.267473,kddcup99_no_training_proxy
0.131522,0,normal,0.285489,kddcup99_no_training_proxy
0.061087,0,normal,0.239707,kddcup99_no_training_proxy
0.200978,0,normal,0.380636,kddcup99_no_training_proxy
0.117935,0,normal,0.276658,kddcup99_no_training_proxy
0.120978,0,normal,0.278636,kddcup99_no_training_proxy
0.071522,0,normal,0.246489,kddcup99_no_training_proxy
0.081522,0,normal,0.252989,kddcup99_no_training_proxy
0.070761,0,normal,0.245995,kddcup99_no_training_proxy
0.106630,0,normal,0.269310,kddcup99_no_training_proxy
0.190000,0,normal,0.373500,kddcup99_no_training_proxy
