score,true_label,attack_family,cost_proxy,score_source,split
0.992264,1,scanning,0.696549,toniot_sgd_logistic_calibration,test
0.972038,1,injection,0.824886,toniot_sgd_logistic_calibration,test
0.024601,0,normal,0.263729,toniot_sgd_logistic_calibration,test
0.966179,1,password,0.767731,toniot_sgd_logistic_calibration,test
0.991992,1,ddos,0.708876,toniot_sgd_logistic_calibration,test
0.991625,1,ransomware,0.696229,toniot_sgd_logistic_calibration,test
0.999991,1,password,0.707556,toniot_sgd_logistic_calibration,test
0.999978,1,backdoor,0.707550,toniot_sgd_logistic_calibration,test
0.023552,0,normal,0.263311,toniot_sgd_logistic_calibration,test
0.992120,1,scanning,0.696477,toniot_sgd_logistic_calibration,test
0.097121,1,dos,0.294902,toniot_sgd_logistic_calibration,test
0.000338,0,normal,0.200586,toniot_sgd_logistic_calibration,test
0.999984,1,dos,0.707551,toniot_sgd_logistic_calibration,test
0.999984,1,dos,0.707555,toniot_sgd_logistic_calibration,test
0.999984,1,dos,0.707552,toniot_sgd_logistic_calibration,test
0.994277,1,ransomware,0.697555,toniot_sgd_logistic_calibration,test
0.999978,1,backdoor,0.707549,toniot_sgd_logistic_calibration,test
0.999984,1,dos,0.707553,toniot_sgd_logistic_calibration,test
0.977635,1,xss,0.871513,toniot_sgd_logistic_calibration,test
0.000218,0,normal,0.217189,toniot_sgd_logistic_calibration,test
0.981263,1,scanning,0.691048,toniot_sgd_logistic_calibration,test
0.992784,1,ddos,0.710620,toniot_sgd_logistic_calibration,test
0.003107,0,normal,0.214867,toniot_sgd_logistic_calibration,test
0.999990,1,backdoor,0.707555,toniot_sgd_logistic_calibration,test
0.998709,1,ddos,0.814473,toniot_sgd_logistic_calibration,test
0.999990,1,backdoor,0.707556,toniot_sgd_logistic_calibration,test
0.998872,1,ddos,0.707415,toniot_sgd_logistic_calibration,test
0.669274,1,ransomware,0.535054,toniot_sgd_logistic_calibration,test
0.991828,1,ransomware,0.696330,toniot_sgd_logistic_calibration,test
0.997982,1,xss,0.849138,toniot_sgd_logistic_calibration,test
0.992982,1,injection,0.697581,toniot_sgd_logistic_calibration,test
0.999984,1,dos,0.707555,toniot_sgd_logistic_calibration,test
0.994936,1,ransomware,0.704611,toniot_sgd_logistic_calibration,test
0.991127,1,xss,0.729824,toniot_sgd_logistic_calibration,test
0.992162,1,scanning,0.696498,toniot_sgd_logistic_calibration,test
0.905415,1,dos,0.661258,toniot_sgd_logistic_calibration,test
0.991607,1,ddos,0.710511,toniot_sgd_logistic_calibration,test
0.999978,1,backdoor,0.707550,toniot_sgd_logistic_calibration,test
0.967405,1,password,0.745545,toniot_sgd_logistic_calibration,test
0.967825,1,injection,0.758344,toniot_sgd_logistic_calibration,test
0.998598,1,ddos,0.707276,toniot_sgd_logistic_calibration,test
0.999984,1,dos,0.707553,toniot_sgd_logistic_calibration,test
0.984516,1,xss,0.941982,toniot_sgd_logistic_calibration,test
0.999978,1,backdoor,0.707551,toniot_sgd_logistic_calibration,test
0.999984,1,dos,0.707554,toniot_sgd_logistic_calibration,test
0.990654,1,scanning,0.695744,toniot_sgd_logistic_calibration,test
0.971716,1,injection,0.791947,toniot_sgd_logistic_calibration,test
0.970718,1,password,0.798711,toniot_sgd_logistic_calibration,test
0.000217,0,normal,0.216988,toniot_sgd_logistic_calibration,test
0.000216,0,normal,0.217016,toniot_sgd_logistic_calibration,test
0.972307,1,password,0.740977,toniot_sgd_logistic_calibration,test
0.915765,1,xss,0.667009,toniot_sgd_logistic_calibration,test
0.000192,0,normal,0.218717,toniot_sgd_logistic_calibration,test
0.969768,1,password,0.798492,toniot_sgd_logistic_calibration,test
0.024517,0,normal,0.264003,toniot_sgd_logistic_calibration,test
0.998649,1,ddos,0.707301,toniot_sgd_logistic_calibration,test
0.998878,1,ddos,0.707434,toniot_sgd_logistic_calibration,test
0.000542,0,normal,0.355271,toniot_sgd_logistic_calibration,test
0.999990,1,backdoor,0.707557,toniot_sgd_logistic_calibration,test
0.023511,0,normal,0.263692,toniot_sgd_logistic_calibration,test
0.994753,1,ransomware,0.697793,toniot_sgd_logistic_calibration,test
0.998870,1,ddos,0.707606,toniot_sgd_logistic_calibration,test
0.999984,1,dos,0.707558,toniot_sgd_logistic_calibration,test
0.307848,0,normal,0.504049,toniot_sgd_logistic_calibration,test
0.023995,0,normal,0.263640,toniot_sgd_logistic_calibration,test
0.000188,0,normal,0.217466,toniot_sgd_logistic_calibration,test
0.005704,0,normal,0.203268,toniot_sgd_logistic_calibration,test
0.024293,0,normal,0.263776,toniot_sgd_logistic_calibration,test
0.967274,1,injection,0.752160,toniot_sgd_logistic_calibration,test
