score,true_label,attack_family,cost_proxy,score_source,split
0.072052,0,Normal,0.242705,unsw_nb15_sgd_logistic_calibration,test
1.000000,0,Normal,0.783955,unsw_nb15_sgd_logistic_calibration,test
0.999755,0,Normal,0.796734,unsw_nb15_sgd_logistic_calibration,test
0.981175,0,Normal,0.775382,unsw_nb15_sgd_logistic_calibration,test
0.000425,0,Normal,0.224002,unsw_nb15_sgd_logistic_calibration,test
0.000160,0,Normal,0.220513,unsw_nb15_sgd_logistic_calibration,test
0.000368,0,Normal,0.233223,unsw_nb15_sgd_logistic_calibration,test
0.000727,0,Normal,0.227776,unsw_nb15_sgd_logistic_calibration,test
0.000634,0,Normal,0.228768,unsw_nb15_sgd_logistic_calibration,test
0.000667,0,Normal,0.214835,unsw_nb15_sgd_logistic_calibration,test
0.835033,0,Normal,0.647581,unsw_nb15_sgd_logistic_calibration,test
0.999731,0,Normal,0.854653,unsw_nb15_sgd_logistic_calibration,test
0.000184,0,Normal,0.222299,unsw_nb15_sgd_logistic_calibration,test
0.571349,0,Normal,0.536314,unsw_nb15_sgd_logistic_calibration,test
0.000552,0,Normal,0.230375,unsw_nb15_sgd_logistic_calibration,test
0.901812,0,Normal,0.700994,unsw_nb15_sgd_logistic_calibration,test
0.000355,0,Normal,0.237545,unsw_nb15_sgd_logistic_calibration,test
0.618498,0,Normal,0.532580,unsw_nb15_sgd_logistic_calibration,test
0.000689,0,Normal,0.221134,unsw_nb15_sgd_logistic_calibration,test
0.000583,0,Normal,0.228496,unsw_nb15_sgd_logistic_calibration,test
0.001012,0,Normal,0.213791,unsw_nb15_sgd_logistic_calibration,test
0.898040,0,Normal,0.669095,unsw_nb15_sgd_logistic_calibration,test
0.851338,0,Normal,0.676000,unsw_nb15_sgd_logistic_calibration,test
0.519422,0,Normal,0.484265,unsw_nb15_sgd_logistic_calibration,test
0.000416,0,Normal,0.246965,unsw_nb15_sgd_logistic_calibration,test
0.000675,0,Normal,0.231617,unsw_nb15_sgd_logistic_calibration,test
0.000160,0,Normal,0.229688,unsw_nb15_sgd_logistic_calibration,test
0.387449,0,Normal,0.425543,unsw_nb15_sgd_logistic_calibration,test
0.977816,0,Normal,0.720748,unsw_nb15_sgd_logistic_calibration,test
0.437827,0,Normal,0.436211,unsw_nb15_sgd_logistic_calibration,test
0.999342,0,Normal,0.753287,unsw_nb15_sgd_logistic_calibration,test
0.443384,0,Normal,0.439529,unsw_nb15_sgd_logistic_calibration,test
0.974573,0,Normal,0.709153,unsw_nb15_sgd_logistic_calibration,test
0.780729,0,Normal,0.596564,unsw_nb15_sgd_logistic_calibration,test
0.914803,0,Normal,0.675426,unsw_nb15_sgd_logistic_calibration,test
0.862918,0,Normal,0.672942,unsw_nb15_sgd_logistic_calibration,test
0.462276,0,Normal,0.441337,unsw_nb15_sgd_logistic_calibration,test
0.998810,0,Normal,0.739693,unsw_nb15_sgd_logistic_calibration,test
0.859792,0,Normal,0.650843,unsw_nb15_sgd_logistic_calibration,test
0.804489,0,Normal,0.619025,unsw_nb15_sgd_logistic_calibration,test
0.921689,0,Normal,0.687487,unsw_nb15_sgd_logistic_calibration,test
0.912093,0,Normal,0.689597,unsw_nb15_sgd_logistic_calibration,test
0.649020,0,Normal,0.543459,unsw_nb15_sgd_logistic_calibration,test
0.956338,0,Normal,0.700794,unsw_nb15_sgd_logistic_calibration,test
0.904604,0,Normal,0.687699,unsw_nb15_sgd_logistic_calibration,test
0.000532,0,Normal,0.306490,unsw_nb15_sgd_logistic_calibration,test
0.873613,0,Normal,0.673246,unsw_nb15_sgd_logistic_calibration,test
0.988871,0,Normal,0.724804,unsw_nb15_sgd_logistic_calibration,test
0.999854,0,Normal,0.804271,unsw_nb15_sgd_logistic_calibration,test
0.422791,0,Normal,0.426594,unsw_nb15_sgd_logistic_calibration,test
0.987278,0,Normal,0.794517,unsw_nb15_sgd_logistic_calibration,test
0.628682,0,Normal,0.588267,unsw_nb15_sgd_logistic_calibration,test
0.998552,0,Normal,0.735220,unsw_nb15_sgd_logistic_calibration,test
0.000000,0,Normal,0.350118,unsw_nb15_sgd_logistic_calibration,test
