score,true_label,attack_family,cost_proxy,score_source,split
0.452649,0,Normal,0.432196,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
1.000000,0,Normal,0.765673,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.999321,0,Normal,0.784604,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.952007,0,Normal,0.753537,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.000110,0,Normal,0.221245,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.000049,0,Normal,0.218095,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.000083,0,Normal,0.229798,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.000187,0,Normal,0.224621,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.000170,0,Normal,0.225578,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.000196,0,Normal,0.212657,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.900566,0,Normal,0.670147,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.999941,0,Normal,0.846612,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.000039,0,Normal,0.219738,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.681112,0,Normal,0.586613,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.000121,0,Normal,0.227085,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.938726,0,Normal,0.719398,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.000095,0,Normal,0.233857,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.597015,0,Normal,0.518337,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.000158,0,Normal,0.218481,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.000143,0,Normal,0.225335,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.000226,0,Normal,0.211544,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.921402,0,Normal,0.677519,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.733082,0,Normal,0.611855,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.691292,0,Normal,0.567142,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.000107,0,Normal,0.242590,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.000152,0,Normal,0.228198,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.000040,0,Normal,0.226618,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.509153,0,Normal,0.480172,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.986778,0,Normal,0.720534,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.689528,0,Normal,0.571641,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.999352,0,Normal,0.743854,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.393244,0,Normal,0.410904,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.979841,0,Normal,0.708104,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.912885,0,Normal,0.668519,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.926038,0,Normal,0.677952,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.863118,0,Normal,0.665786,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.668310,0,Normal,0.554232,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.999585,0,Normal,0.736227,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.927348,0,Normal,0.681266,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.817566,0,Normal,0.623023,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.956412,0,Normal,0.697075,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.908889,0,Normal,0.683683,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.826823,0,Normal,0.650989,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.959382,0,Normal,0.698413,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.912738,0,Normal,0.686855,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.000034,0,Normal,0.297179,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.917977,0,Normal,0.691847,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.986091,0,Normal,0.717188,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.999964,0,Normal,0.771351,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.626312,0,Normal,0.543233,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.991339,0,Normal,0.780208,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.708571,0,Normal,0.621988,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.999401,0,Normal,0.732098,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.000000,0,Normal,0.350077,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.829949,0,Normal,0.627551,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.994547,0,Normal,0.777081,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.883259,0,Normal,0.658568,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.000000,0,Normal,0.200000,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.831736,0,Normal,0.643217,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.923271,0,Normal,0.681141,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.837421,0,Normal,0.650447,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
0.895401,0,Normal,0.680686,unsw_nb15_deduplicated_sgd_logistic_calibration,test_deduplicated
