stage,variant,ablation,regime,policy,seed,slots,packet_drop_rate,mean_packet_delay,mean_packet_queue,explanation_coverage,high_risk_explanation_coverage,mean_explanation_delay,mean_explanation_debt,exposure_use,offload_rate,audit_rate,redaction_rate,local_compute_load,attacker_trigger_gain,budget_violation_rate,exposure_budget_violation_rate,alerts_per_slot,packets_per_slot,calibration_status
calibrated_anchor,default,default,adversarial_explanation_flood,never_explain,1,5000,0.0,0.016569230769230767,0.8616,0.0,0.0,0.0,11810.36205768256,0.0,0.0,0.0,0.0,0.0,0.7998945784916411,0.0,0.0,12.1562,45.0256,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/kddcup99_sa_score_stream.csv
calibrated_anchor,default,default,adversarial_explanation_flood,always_explain,1,5000,0.0,0.020623538501053133,1.0555,1.0,1.0,0.849999999999962,0.0,2.891133333333204,0.0,0.0,0.0,12.2448,0.8068571681533472,0.0436,0.6518,12.2448,45.179,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/kddcup99_sa_score_stream.csv
calibrated_anchor,default,default,adversarial_explanation_flood,threshold_explain,1,5000,0.0,0.015733070484373293,0.8177918000000033,0.04079982912442733,0.1716788015000925,0.023106813663473683,11046.365399933065,0.033830555555556766,0.0,0.0,0.0,0.31589599999998275,0.8036046608110199,0.0,0.0,12.1726,44.9936,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/kddcup99_sa_score_stream.csv
calibrated_anchor,default,default,adversarial_explanation_flood,rate_limited,1,5000,0.0,0.015357594684154003,0.7960593200000032,0.37148819519905985,0.36677955743768476,0.3837745727551117,7321.269792197718,0.28264166666666635,0.0,0.0,0.0,2.8167360000000388,0.7987970111858416,0.0,0.0,12.1476,45.0212,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/kddcup99_sa_score_stream.csv
calibrated_anchor,default,default,adversarial_explanation_flood,fifo_explanation,1,5000,0.0,0.020200368899949125,1.0374099999999906,0.8808996142165312,0.7548080613078613,0.8678650578674653,328.4299166927643,2.5339444444443044,0.0,0.0,0.0,10.732,0.8019816917595171,0.0,0.6064,12.183,45.0726,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/kddcup99_sa_score_stream.csv
calibrated_anchor,default,default,adversarial_explanation_flood,static_coarse_full,1,5000,0.0,0.014338492736435981,0.7452822400000009,0.04175061302935942,0.17916457262039842,0.02371678043607922,10858.69044242447,0.034841666666667895,0.0,0.0,0.0,0.3216719999999821,0.7884531048133756,0.0,0.0,12.0712,44.9968,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/kddcup99_sa_score_stream.csv
calibrated_anchor,default,default,adversarial_explanation_flood,static_offload,1,5000,0.0,0.013414404642257335,0.6972662800000018,0.04114128276409899,0.16917225959648263,0.024327012178977956,10901.052513077673,0.035183333333334524,0.0016712999735239609,0.0,0.0,0.3013199999999832,0.7934552771335308,0.0,0.0,12.0864,44.9278,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/kddcup99_sa_score_stream.csv
calibrated_anchor,default,default,adversarial_explanation_flood,budget_only_bexgov,1,5000,0.0,0.013695437039067154,0.711869760000001,0.04071853328281778,0.17291021933813125,0.02308218162650105,10996.944253111118,0.03383055555555678,0.0,0.0,0.0,0.3147919999999825,0.8007267334074921,0.0,0.0,12.1414,44.95,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/kddcup99_sa_score_stream.csv
calibrated_anchor,default,default,adversarial_explanation_flood,xai_gate,1,5000,0.0,0.018444766302948057,0.9510616200000006,0.6812342234404243,0.787601683651002,0.6661430517487652,883.1742396993069,0.9504777777778242,0.04186840420817673,0.3730407523510972,0.5003036320963745,6.737663999999887,0.8033160486811532,0.001,0.0,12.1858,45.0496,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/kddcup99_sa_score_stream.csv
calibrated_anchor,default,default,transient_overload,never_explain,1,5000,0.2452305104796927,1.0254884615384767,53.3254,0.0,0.0,0.0,8130.616172208722,0.0,0.0,0.0,0.0,0.0,0.19995629007238347,0.0,0.0,10.1026,56.1276,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/kddcup99_sa_score_stream.csv
calibrated_anchor,default,default,transient_overload,always_explain,1,5000,0.25067398325635687,1.052171441910438,53.27176000000002,1.0,1.0,0.8499999999999815,0.0,2.385288888888837,0.0,0.0,0.0,10.1024,0.199142045582688,0.2006,0.5246,10.1024,56.1646,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/kddcup99_sa_score_stream.csv
calibrated_anchor,default,default,transient_overload,threshold_explain,1,5000,0.2449262725856063,1.0249708253140546,53.26943119999996,0.03018628365108088,0.13668132488455656,0.017068065943222188,7600.071245455213,0.02056388888888936,0.0,0.0,0.0,0.19320799999999377,0.19831356033942704,0.0,0.0,10.0814,56.0866,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/kddcup99_sa_score_stream.csv
calibrated_anchor,default,default,transient_overload,rate_limited,1,5000,0.24591182024424932,1.0264405774586873,53.21596447999997,0.3051306450973448,0.3112511735623274,0.49322290948019465,8200.343464920303,0.1920749999999973,0.0,0.0,0.0,1.919832000000037,0.19765938578465425,0.0,0.0,10.0884,56.1562,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/kddcup99_sa_score_stream.csv
calibrated_anchor,default,default,transient_overload,fifo_explanation,1,5000,0.24707921549103629,1.0388693206311432,53.33871999999996,0.71974736011053,0.6291514896042602,0.8920378959834159,5684.552960447561,1.7220055555555684,0.0,0.0,0.0,7.2932,0.20118304616606708,0.0,0.4442,10.133,56.239,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/kddcup99_sa_score_stream.csv
calibrated_anchor,default,default,transient_overload,static_coarse_full,1,5000,0.2456123102800653,1.0263463181716976,53.33992027999988,0.0304580530273058,0.138216056238383,0.01722991689750694,7572.76506650298,0.020852777777778317,0.0,0.0,0.0,0.19556799999999377,0.20071320558828454,0.0,0.0,10.108,56.1222,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/kddcup99_sa_score_stream.csv
calibrated_anchor,default,default,transient_overload,static_offload,1,5000,0.24636535438089363,1.024873041166728,53.265136359999886,0.029995897395823812,0.12526190041258847,0.0172489108562721,7913.027206467124,0.020466666666667153,0.0006642311524410495,0.0,0.0,0.18835199999999405,0.20834631691264915,0.0,0.0,10.2374,56.4816,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/kddcup99_sa_score_stream.csv
calibrated_anchor,default,default,transient_overload,budget_only_bexgov,1,5000,0.24498323434413824,1.0235562373207718,53.19509127999992,0.030276293035686856,0.13356019644344752,0.0170747523974218,7754.223257947847,0.020555555555555997,0.0,0.0,0.0,0.19505599999999376,0.2094506753368357,0.0,0.0,10.1776,56.1004,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/kddcup99_sa_score_stream.csv
calibrated_anchor,default,default,transient_overload,xai_gate,1,5000,0.24704007901527084,1.035096134250513,53.28118131999994,0.6762725336278995,0.7271849784315605,0.7686757918820041,940.4670837308898,0.9633405555556676,0.24150921068202438,0.15232140743954872,0.591534850696225,4.14765199999982,0.20633311801017595,0.0104,0.0,10.1404,56.0398,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/kddcup99_sa_score_stream.csv
calibrated_anchor,default,default,non_markovian,never_explain,1,5000,0.13686002394725832,1.2847384615384727,66.8064,0.0,0.0,0.0,7139.483446895549,0.0,0.0,0.0,0.0,0.0,0.13713411907269424,0.0,0.0,9.459,55.4552,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/kddcup99_sa_score_stream.csv
