stage,variant,ablation,regime,policy,seed,slots,packet_drop_rate,mean_packet_delay,mean_packet_queue,explanation_coverage,high_risk_explanation_coverage,mean_explanation_delay,mean_explanation_debt,exposure_use,offload_rate,audit_rate,redaction_rate,local_compute_load,attacker_trigger_gain,budget_violation_rate,exposure_budget_violation_rate,alerts_per_slot,packets_per_slot,calibration_status
frontier,budget_10.0_exposure_10000,default,poisson,never_explain,1,5000,0.0,0.013969230769230751,0.7264,0.0,0.0,0.0,5560.587282600306,0.0,0.0,0.0,0.0,0.0,0.006403630704160168,0.0,0.0,6.7768,44.8912,synthetic_default
frontier,budget_10.0_exposure_10000,default,poisson,always_explain,1,5000,0.0,0.017536219901115663,0.9037730000000007,1.0,1.0,0.8499999999999592,0.0,2.8739349999998622,0.0,0.0,0.0,6.7622,0.0,0.0814,0.6514,6.7622,45.1088,synthetic_default
frontier,budget_10.0_exposure_10000,default,poisson,threshold_explain,1,5000,0.0,0.016261156413369064,0.8429798799999989,0.3860273235478783,0.7857934119719299,0.2881961675286401,501.19834703999953,0.8128450000000417,0.0,0.0,0.0,2.2398800000000594,0.0,0.0002,0.0,6.6902,44.847,synthetic_default
frontier,budget_10.0_exposure_10000,default,poisson,rate_limited,1,5000,0.0,0.015013911596173699,0.7775930399999981,0.5873817502446652,0.8122007563301321,0.3998710002669229,1.1596017200000022,0.968935000000074,0.0,0.0,0.0,3.1012880000001304,0.0009602640651951155,0.0,0.0,6.7442,44.9182,synthetic_default
frontier,budget_10.0_exposure_10000,default,poisson,fifo_explanation,1,5000,0.0,0.01750124437679009,0.9021379999999996,0.9950639907782343,0.9860213929903253,0.8507404013832252,0.13093499999999986,2.861609999999868,0.0,0.0,0.0,6.7332,0.002414707494483137,0.0818,0.6534,6.7666,45.002,synthetic_default
frontier,budget_10.0_exposure_10000,default,poisson,static_coarse_full,1,5000,0.0,0.015609205826111833,0.8092148799999983,0.3901415108275009,0.7912712063516575,0.29238973086355813,661.326093040002,0.8393800000000471,0.0,0.0,0.0,2.3004320000000518,0.003334667200213026,0.0,0.0,6.7698,44.982,synthetic_default
frontier,budget_10.0_exposure_10000,default,poisson,static_offload,1,5000,0.0,0.01473933367269757,0.7656226799999994,0.35557880676756154,0.6730621898237718,0.41470970614422675,16.369159039999797,0.9313300000000166,0.24677945978035026,0.0,0.0,0.8256559999999994,0.0,0.0,0.0,6.738,45.0766,synthetic_default
frontier,budget_10.0_exposure_10000,default,poisson,budget_only_bexgov,1,5000,0.0,0.014562651198030503,0.7551389999999987,0.3636859012141875,0.737213939563583,0.2754538488742254,960.2290698080251,0.6971930000000334,0.0,0.06931510078981493,0.0,2.0747200000000694,0.005839632429226693,0.0,0.0,6.7864,44.98,synthetic_default
frontier,budget_10.0_exposure_10000,default,poisson,xai_gate,1,5000,0.0,0.016217858734346578,0.8405069200000005,0.6158827509119191,0.7371447283506338,0.6233709848217175,5.789580804,0.8409059999999017,0.14704671137780914,0.020090598893987528,0.6016296034827627,2.7108719999997946,0.007100896721500494,0.0,0.0,6.7992,45.0084,synthetic_default
frontier,budget_10.0_exposure_10000,default,bursty,never_explain,1,5000,0.1612161944148235,1.2259038461538587,63.747,0.0,0.0,0.0,10187.490872799975,0.0,0.0,0.0,0.0,0.0,0.14617968523539449,0.0,0.0,8.7386,50.8274,synthetic_default
frontier,budget_10.0_exposure_10000,default,bursty,always_explain,1,5000,0.16611935588218973,1.2638571297648846,64.57492199999999,1.0,1.0,0.84999999999994,0.0,3.7198549999997375,0.0,0.0,0.0,8.7526,0.1509279641069765,0.2224,0.7286,8.7526,50.6988,synthetic_default
frontier,budget_10.0_exposure_10000,default,bursty,threshold_explain,1,5000,0.16170005081120653,1.2447921299570168,64.25862367999996,0.433134240228928,0.8161521960968592,0.3280346558263305,3085.650256520002,1.2443950000000994,0.0,0.0,0.0,3.3610160000000584,0.15626349877830448,0.072,0.1978,8.8066,50.7762,synthetic_default
frontier,budget_10.0_exposure_10000,default,bursty,rate_limited,1,5000,0.16210255518805003,1.2452969680053831,64.33139544000002,0.5000147432408077,0.7932765943499581,0.5968596897114722,4305.12380050001,1.2749800000001135,0.0,0.0,0.0,3.688232000000128,0.1559502412818028,0.0126,0.2116,8.8176,50.8534,synthetic_default
frontier,budget_10.0_exposure_10000,default,bursty,fifo_explanation,1,5000,0.16270213361618735,1.2530499931481762,64.47763700000007,0.7803173578117072,0.5672483313805837,0.8829523963281779,3598.3956449999914,2.8758049999998794,0.0,0.0,0.0,6.7666,0.13976874981105847,0.2208,0.6554,8.6716,50.7214,synthetic_default
frontier,budget_10.0_exposure_10000,default,bursty,static_coarse_full,1,5000,0.16207304176185403,1.2478046600565824,64.42157703999989,0.427755556565619,0.815362887730855,0.3242113994818602,3068.5833667600014,1.2304250000001014,0.0,0.0,0.0,3.3197680000000602,0.15344135869216458,0.0688,0.1876,8.8004,50.8646,synthetic_default
frontier,budget_10.0_exposure_10000,default,bursty,static_offload,1,5000,0.16130628916459344,1.2228696424745773,63.43734583999996,0.3998313601321483,0.6963710499641281,0.47940092694565895,1935.0464695200533,1.4066100000000337,0.2923549926578561,0.0,0.0,1.1492399999999545,0.1436848568819471,0.0,0.2834,8.7168,50.8112,synthetic_default
