stage,variant,ablation,regime,policy,seed,slots,packet_drop_rate,mean_packet_delay,mean_packet_queue,explanation_coverage,high_risk_explanation_coverage,mean_explanation_delay,mean_explanation_debt,exposure_use,offload_rate,audit_rate,redaction_rate,local_compute_load,attacker_trigger_gain,budget_violation_rate,exposure_budget_violation_rate,alerts_per_slot,packets_per_slot,calibration_status
robustness,default,default,bursty,threshold_explain,1,5000,0.16277809217087605,1.2378550865004303,63.908090200000096,0.42727241724264226,0.8134419860947406,0.3232755092761185,1863.5045886311254,0.6795500000000553,0.0,0.0,0.0,3.3082320000000625,0.1558873808707275,0.0002,0.0,8.7968,50.7362,synthetic_default
robustness,default,default,bursty,rate_limited,1,5000,0.1603577945628859,1.2452282506890018,64.33090411999996,0.5024023084411241,0.7943269259747382,0.5975629258795575,2687.3269208732736,0.6991055555556192,0.0,0.0,0.0,3.6323120000001103,0.13394096127160426,0.0002,0.0,8.6292,50.7328,synthetic_default
robustness,default,default,bursty,static_offload,1,5000,0.1622708109513083,1.2263315199273552,63.61826680000005,0.39853110731908636,0.6961059605032794,0.47806438223492065,1386.833861322289,0.7755000000000197,0.2916570585251118,0.0,0.0,1.1388959999999593,0.13855589336441998,0.0,0.0,8.6732,50.7848,synthetic_default
robustness,default,default,bursty,budget_only_bexgov,1,5000,0.1611667617784722,1.2355802908536204,63.8387383,0.3972856553998345,0.7548999205646182,0.3052040395713242,2394.7302170364205,0.5532466666667082,0.0,0.0878446459650087,0.0,2.9423440000001175,0.1489190405152625,0.0,0.0,8.7336,50.6772,synthetic_default
robustness,default,default,bursty,xai_gate,1,5000,0.16194220530225886,1.2350353601474677,63.91679609999992,0.6310662043310105,0.775005256848962,0.7261873378188898,102.15008386578009,0.8760638888888526,0.2742094748203091,0.09881277699956369,0.445977908925988,3.0317999999999907,0.14175669599256557,0.0,0.0,8.7094,50.8538,synthetic_default
robustness,default,default,transient_overload,threshold_explain,1,5000,0.24786861616754718,1.0365906621647092,53.287590999999956,0.4393897323802325,0.8209351541133263,0.3336720426931377,4041.8790942266487,0.8142027777778267,0.0,0.0,0.0,3.943792000000002,0.20479012082065862,0.0026,0.0,10.1562,56.199,synthetic_default
robustness,default,default,transient_overload,rate_limited,1,5000,0.24704491214823035,1.0338439069783267,53.265779199999955,0.4641655006602051,0.7659261149228217,0.6706934946691772,7942.386599764669,0.8092194444445009,0.0,0.0,0.0,4.054192000000065,0.2049091088260171,0.0,0.0,10.1486,56.1514,synthetic_default
robustness,default,default,transient_overload,static_offload,1,5000,0.24741054849307248,1.027317344628927,53.22313371999999,0.4134153596002894,0.7046061375681215,0.5022202613472047,3784.8901708088947,0.9515722222222276,0.3097102972378101,0.0,0.0,1.3450159999999345,0.20056658572584696,0.0,0.0,10.0862,56.008,synthetic_default
robustness,default,default,transient_overload,budget_only_bexgov,1,5000,0.2500119101579319,1.0375822052312613,53.39640983999999,0.41325839393169084,0.7652618151932754,0.3212068053078399,4629.067743537639,0.6854200000000541,0.0,0.0986691232678022,0.0,3.6088800000000285,0.21010942668103816,0.0,0.0,10.2038,56.2142,synthetic_default
robustness,default,default,transient_overload,xai_gate,1,5000,0.24789154063060773,1.0363446867313708,53.26805317999994,0.679961680526308,0.7495444276216546,0.7735247990203588,2325.5029224789364,0.990431666666954,0.24617299069666385,0.1533766567246726,0.5749698777332254,4.159039999999229,0.20166244172908643,0.0114,0.0,10.1254,56.1744,synthetic_default
robustness,default,default,rtt_uncertainty,threshold_explain,1,5000,0.0,0.014892972740756145,0.771737959999999,0.41113034399384873,0.8039403668526853,0.3098156390812386,162.25129866222272,0.5356972222222628,0.0,0.0,0.0,2.6224400000000623,0.07922020735759028,0.0,0.0,7.2792,44.9658,synthetic_default
robustness,default,default,rtt_uncertainty,rate_limited,1,5000,0.0,0.015280047765617505,0.7909152399999987,0.6042296239108975,0.828001526744301,0.4182847137973167,0.3676556311111115,0.6252750000000563,0.0,0.0,0.0,3.4955760000001472,0.07599903282319254,0.0,0.0,7.2536,44.9418,synthetic_default
robustness,default,default,rtt_uncertainty,static_offload,1,5000,0.0,0.014392125785825306,0.7474405199999993,0.3897024480039306,0.6920421341009765,0.5601232354882371,15.760009128888763,0.6326666666666788,0.2828529823886584,0.0,0.0,0.9415199999999744,0.07889475314543248,0.0,0.0,7.2794,44.9806,synthetic_default
robustness,default,default,rtt_uncertainty,budget_only_bexgov,1,5000,0.0,0.015380351125794047,0.7972394200000005,0.3917999944658062,0.7527990565362817,0.30036110573066255,480.8985054826689,0.45083166666669233,0.0,0.08447937131630648,0.0,2.3989000000001033,0.07575757575757702,0.0,0.0,7.2278,44.792,synthetic_default
