comparison_family,dataset,regime,policy_a,variant_a,policy_b,variant_b,metric,direction_for_a,paired_seeds,mean_a,mean_b,mean_diff_a_minus_b,bootstrap_ci95_low,bootstrap_ci95_high,cohens_dz,favorable_seed_count,unfavorable_seed_count,tie_seed_count,sign_test_two_sided_p
default_policy,synthetic,adversarial_explanation_flood,xai_gate,default,threshold_explain,default,high_risk_explanation_coverage,higher,20,0.800328787553345,0.8843360401381127,-0.08400725258476766,-0.08465302911242042,-0.08339707635557779,-56.91337266350975,0,20,0,1.9073486328125e-06
default_policy,synthetic,adversarial_explanation_flood,xai_gate,default,threshold_explain,default,mean_explanation_debt,lower,20,1561.5569577493488,3660.899253870473,-2099.3422961211236,-2129.9384541014156,-2068.5333318102344,-30.57734106929268,20,0,0,1.9073486328125e-06
default_policy,synthetic,adversarial_explanation_flood,xai_gate,default,threshold_explain,default,exposure_use,lower,20,0.9954143333335734,1.387689861111105,-0.39227552777753166,-0.3963629166664222,-0.38856372222197544,-42.603782602450345,20,0,0,1.9073486328125e-06
default_policy,synthetic,adversarial_explanation_flood,xai_gate,default,threshold_explain,default,exposure_budget_violation_rate,lower,20,0.0,0.27956000000000003,-0.27956000000000003,-0.28128000000000003,-0.278,-71.7755478017934,20,0,0,1.9073486328125e-06
default_policy,synthetic,adversarial_explanation_flood,xai_gate,default,threshold_explain,default,packet_drop_rate,lower,20,0.0,0.0,0.0,0.0,0.0,,0,0,20,
default_policy,synthetic,adversarial_explanation_flood,xai_gate,default,threshold_explain,default,mean_packet_delay,lower,20,0.01769159268872642,0.017414759276925196,0.0002768334118012228,-0.0005152199622766621,0.0010576916839337871,0.16131423334980033,10,10,0,1.0
default_policy,synthetic,adversarial_explanation_flood,xai_gate,default,budget_only_bexgov,default,high_risk_explanation_coverage,higher,20,0.800328787553345,0.7735675144192841,0.02676127313406094,0.026255371881042794,0.02729038610158746,22.39723961013883,20,0,0,1.9073486328125e-06
default_policy,synthetic,adversarial_explanation_flood,xai_gate,default,budget_only_bexgov,default,mean_explanation_debt,lower,20,1561.5569577493488,5327.287781142498,-3765.7308233931485,-3797.3113642207923,-3732.166308452599,-51.56828731464881,20,0,0,1.9073486328125e-06
default_policy,synthetic,adversarial_explanation_flood,xai_gate,default,budget_only_bexgov,default,exposure_use,lower,20,0.9954143333335734,0.9183765833333691,0.07703775000020435,0.07602705555575824,0.077989666666873,34.30250104857712,0,20,0,1.9073486328125e-06
default_policy,synthetic,adversarial_explanation_flood,xai_gate,default,budget_only_bexgov,default,exposure_budget_violation_rate,lower,20,0.0,0.0,0.0,0.0,0.0,,0,0,20,
default_policy,synthetic,adversarial_explanation_flood,xai_gate,default,budget_only_bexgov,default,packet_drop_rate,lower,20,0.0,0.0,0.0,0.0,0.0,,0,0,20,
default_policy,synthetic,adversarial_explanation_flood,xai_gate,default,budget_only_bexgov,default,mean_packet_delay,lower,20,0.01769159268872642,0.017235492072609368,0.0004561006161170495,-0.0002523702780141919,0.0011514779231723174,0.2792955639163513,6,14,0,0.11531829833984375
default_policy,synthetic,adversarial_explanation_flood,xai_gate,default,rate_limited,default,high_risk_explanation_coverage,higher,20,0.800328787553345,0.8765628248321659,-0.07623403727882079,-0.07689286857368546,-0.07556838053242802,-50.336387634143485,0,20,0,1.9073486328125e-06
default_policy,synthetic,adversarial_explanation_flood,xai_gate,default,rate_limited,default,mean_explanation_debt,lower,20,1561.5569577493488,5005.0194287774,-3443.462471028051,-3515.211455894038,-3364.4787626063076,-20.21753346212887,20,0,0,1.9073486328125e-06
default_policy,synthetic,adversarial_explanation_flood,xai_gate,default,rate_limited,default,exposure_use,lower,20,0.9954143333335734,1.4105297222222093,-0.41511538888863586,-0.41873583333307957,-0.4114388333330768,-49.49966649912597,20,0,0,1.9073486328125e-06
default_policy,synthetic,adversarial_explanation_flood,xai_gate,default,rate_limited,default,exposure_budget_violation_rate,lower,20,0.0,0.29162,-0.29162,-0.29358,-0.2898,-66.17548996883436,20,0,0,1.9073486328125e-06
default_policy,synthetic,adversarial_explanation_flood,xai_gate,default,rate_limited,default,packet_drop_rate,lower,20,0.0,0.0,0.0,0.0,0.0,,0,0,20,
