regime,policy,selected_variant,high_risk_coverage,mean_debt,exposure_use,exposure_violation,packet_drop,selection_rule
adversarial_explanation_flood,always_explain,always_default,1.000,0.0,2.869,0.652,0.000,max coverage subject to zero exposure violation; fallback max coverage
adversarial_explanation_flood,budget_only_bexgov,bexgov_pressure_0.72,0.774,5294.8,0.918,0.000,0.000,max coverage subject to zero exposure violation; fallback max coverage
adversarial_explanation_flood,fifo_explanation,fifo_quota_24,1.000,0.0,2.868,0.651,0.000,max coverage subject to zero exposure violation; fallback max coverage
adversarial_explanation_flood,never_explain,never_default,0.000,20088.8,0.000,0.000,0.000,max coverage subject to zero exposure violation; fallback max coverage
adversarial_explanation_flood,rate_limited,rate_quota_4,0.588,17510.8,0.877,0.000,0.000,max coverage subject to zero exposure violation; fallback max coverage
adversarial_explanation_flood,static_coarse_full,static_cf_h0.86_m0.45,0.605,7700.0,0.689,0.000,0.000,max coverage subject to zero exposure violation; fallback max coverage
adversarial_explanation_flood,static_offload,static_off_h0.86_m0.55,0.544,7576.9,0.778,0.000,0.000,max coverage subject to zero exposure violation; fallback max coverage
adversarial_explanation_flood,threshold_explain,threshold_0.84,0.549,10395.0,0.592,0.000,0.000,max coverage subject to zero exposure violation; fallback max coverage
adversarial_explanation_flood,xai_gate,xai_gate_default,0.800,1536.4,0.995,0.000,0.000,max coverage subject to zero exposure violation; fallback max coverage
non_markovian,always_explain,always_default,1.000,0.0,2.196,0.545,0.138,max coverage subject to zero exposure violation; fallback max coverage
non_markovian,budget_only_bexgov,bexgov_pressure_0.88,0.759,3122.3,0.600,0.000,0.137,max coverage subject to zero exposure violation; fallback max coverage
non_markovian,fifo_explanation,fifo_quota_24,0.890,32.2,2.112,0.525,0.139,max coverage subject to zero exposure violation; fallback max coverage
non_markovian,never_explain,never_default,0.000,11364.4,0.000,0.000,0.136,max coverage subject to zero exposure violation; fallback max coverage
non_markovian,rate_limited,rate_quota_20,0.829,867.8,0.811,0.000,0.137,max coverage subject to zero exposure violation; fallback max coverage
non_markovian,static_coarse_full,static_cf_h0.78_m0.35,0.814,2473.1,0.720,0.000,0.136,max coverage subject to zero exposure violation; fallback max coverage
non_markovian,static_offload,static_off_h0.70_m0.55,0.697,2165.9,0.833,0.000,0.136,max coverage subject to zero exposure violation; fallback max coverage
non_markovian,threshold_explain,threshold_0.62,0.814,2458.0,0.719,0.000,0.138,max coverage subject to zero exposure violation; fallback max coverage
non_markovian,xai_gate,xai_gate_default,0.771,123.2,0.806,0.000,0.137,max coverage subject to zero exposure violation; fallback max coverage
rtt_uncertainty,always_explain,always_default,1.000,0.0,1.720,0.418,0.000,max coverage subject to zero exposure violation; fallback max coverage
rtt_uncertainty,budget_only_bexgov,bexgov_pressure_0.88,0.754,574.9,0.457,0.000,0.000,max coverage subject to zero exposure violation; fallback max coverage
rtt_uncertainty,fifo_explanation,fifo_quota_24,1.000,0.0,1.721,0.419,0.000,max coverage subject to zero exposure violation; fallback max coverage
rtt_uncertainty,never_explain,never_default,0.000,6872.7,0.000,0.000,0.000,max coverage subject to zero exposure violation; fallback max coverage
rtt_uncertainty,rate_limited,rate_quota_16,0.827,0.4,0.628,0.000,0.000,max coverage subject to zero exposure violation; fallback max coverage
rtt_uncertainty,static_coarse_full,static_cf_h0.70_m0.45,0.806,149.1,0.542,0.000,0.000,max coverage subject to zero exposure violation; fallback max coverage
rtt_uncertainty,static_offload,static_off_h0.78_m0.55,0.690,20.5,0.626,0.000,0.000,max coverage subject to zero exposure violation; fallback max coverage
rtt_uncertainty,threshold_explain,threshold_0.72,0.805,155.5,0.541,0.000,0.000,max coverage subject to zero exposure violation; fallback max coverage
rtt_uncertainty,xai_gate,xai_gate_default,0.853,0.4,0.576,0.000,0.000,max coverage subject to zero exposure violation; fallback max coverage
transient_overload,always_explain,always_default,1.000,0.0,2.388,0.525,0.251,max coverage subject to zero exposure violation; fallback max coverage
transient_overload,budget_only_bexgov,bexgov_pressure_0.88,0.765,4546.6,0.676,0.000,0.247,max coverage subject to zero exposure violation; fallback max coverage
transient_overload,fifo_explanation,fifo_quota_24,0.859,1269.4,2.260,0.518,0.250,max coverage subject to zero exposure violation; fallback max coverage
transient_overload,never_explain,never_default,0.000,13158.5,0.000,0.000,0.245,max coverage subject to zero exposure violation; fallback max coverage
transient_overload,rate_limited,rate_quota_20,0.833,4231.3,0.894,0.000,0.248,max coverage subject to zero exposure violation; fallback max coverage
transient_overload,static_coarse_full,static_cf_h0.78_m0.55,0.822,4029.4,0.816,0.000,0.247,max coverage subject to zero exposure violation; fallback max coverage
transient_overload,static_offload,static_off_h0.70_m0.45,0.703,3802.1,0.945,0.000,0.246,max coverage subject to zero exposure violation; fallback max coverage
transient_overload,threshold_explain,threshold_0.62,0.822,4030.1,0.816,0.000,0.248,max coverage subject to zero exposure violation; fallback max coverage
transient_overload,xai_gate,xai_gate_default,0.749,2338.1,0.991,0.000,0.248,max coverage subject to zero exposure violation; fallback max coverage
