stage,variant,ablation,regime,policy,seed,slots,packet_drop_rate,mean_packet_delay,mean_packet_queue,explanation_coverage,high_risk_explanation_coverage,mean_explanation_delay,mean_explanation_debt,exposure_use,offload_rate,audit_rate,redaction_rate,local_compute_load,attacker_trigger_gain,budget_violation_rate,exposure_budget_violation_rate,alerts_per_slot,packets_per_slot,calibration_status
unsw_nb15_deduplicated_anchor,default,default,adversarial_explanation_flood,never_explain,1,5000,0.0,0.014126923076923075,0.7346,0.0,0.0,0.0,25707.594453750964,0.0,0.0,0.0,0.0,0.0,0.7921009651076489,0.0,0.0,12.0698,44.9,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/unsw_nb15_dedup/unsw_nb15_dedup_score_stream.csv
unsw_nb15_deduplicated_anchor,default,default,adversarial_explanation_flood,always_explain,1,5000,0.0,0.020389866919359942,1.043354000000002,1.0,1.0,0.8499999999999484,0.0,2.8758333333331585,0.0,0.0,0.0,12.18,0.8001401094272294,0.0428,0.6498,12.18,45.1076,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/unsw_nb15_dedup/unsw_nb15_dedup_score_stream.csv
unsw_nb15_deduplicated_anchor,default,default,adversarial_explanation_flood,threshold_explain,1,5000,0.0,0.01746090156492166,0.8991929999999998,0.6322752845956526,0.8448315109915556,0.5197892676186024,4292.667373950603,1.6879277777777342,0.0,0.0,0.0,7.411719999999863,0.8004297597521521,0.0002,0.408,12.1576,45.0174,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/unsw_nb15_dedup/unsw_nb15_dedup_score_stream.csv
unsw_nb15_deduplicated_anchor,default,default,adversarial_explanation_flood,rate_limited,1,5000,0.0,0.01773205670213655,0.9133796400000028,0.6816253803413201,0.8343522280956429,0.71757176875246,5350.579272715206,1.6959027777777251,0.0,0.0,0.0,7.701039999999732,0.7867125222334492,0.0,0.4082,12.0944,45.1272,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/unsw_nb15_dedup/unsw_nb15_dedup_score_stream.csv
unsw_nb15_deduplicated_anchor,default,default,adversarial_explanation_flood,fifo_explanation,1,5000,0.0,0.019439445154376192,0.9984789999999922,0.8820515363382423,0.8353371806173333,0.8676922695492155,2489.404127725152,2.520013888888758,0.0,0.0,0.0,10.673,0.796118666559789,0.0,0.6034,12.1002,44.9124,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/unsw_nb15_dedup/unsw_nb15_dedup_score_stream.csv
unsw_nb15_deduplicated_anchor,default,default,adversarial_explanation_flood,static_coarse_full,1,5000,0.0,0.017635137314271673,0.9082247200000011,0.6348691901147675,0.8448629678588765,0.5217305760903506,4198.55515665574,1.692055555555518,0.0,0.0,0.0,7.432903999999887,0.803333689623642,0.0004,0.406,12.1474,44.9072,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/unsw_nb15_dedup/unsw_nb15_dedup_score_stream.csv
unsw_nb15_deduplicated_anchor,default,default,adversarial_explanation_flood,static_offload,1,5000,0.0,0.017057282940059468,0.8851838400000004,0.5731596155751729,0.7184240553375394,0.821038343406401,3719.214258375364,1.9657555555555166,0.571154925856204,0.0,0.0,1.552351999999951,0.7915640462402118,0.0,0.4942,12.1116,45.069,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/unsw_nb15_dedup/unsw_nb15_dedup_score_stream.csv
unsw_nb15_deduplicated_anchor,default,default,adversarial_explanation_flood,budget_only_bexgov,1,5000,0.0,0.016773303262898786,0.8660771200000007,0.5020858574282245,0.7138910934984428,0.44807213726709505,8285.627037098997,0.8930188888889602,0.0,0.39919447264154034,0.04775860375257867,5.316211999999926,0.8111513404678632,0.0,0.0,12.2156,44.9644,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/unsw_nb15_dedup/unsw_nb15_dedup_score_stream.csv
unsw_nb15_deduplicated_anchor,default,default,adversarial_explanation_flood,xai_gate,1,5000,0.0,0.01746152914861091,0.9001455200000011,0.6550276706975539,0.7307416671916053,0.6494565334286245,2792.074106654628,1.0,0.03547143589828433,0.12739275019439802,0.5572915804963667,6.620474499993813,0.7890987019022269,0.0,0.0,12.0886,45.0454,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/unsw_nb15_dedup/unsw_nb15_dedup_score_stream.csv
unsw_nb15_deduplicated_anchor,default,default,transient_overload,never_explain,1,5000,0.24690836101390837,1.0252692307692466,53.314,0.0,0.0,0.0,17446.64097920594,0.0,0.0,0.0,0.0,0.0,0.20667175870828092,0.0,0.0,10.1898,56.297,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/unsw_nb15_dedup/unsw_nb15_dedup_score_stream.csv
