stage,variant,ablation,regime,policy,seed,slots,packet_drop_rate,mean_packet_delay,mean_packet_queue,explanation_coverage,high_risk_explanation_coverage,mean_explanation_delay,mean_explanation_debt,exposure_use,offload_rate,audit_rate,redaction_rate,local_compute_load,attacker_trigger_gain,budget_violation_rate,exposure_budget_violation_rate,alerts_per_slot,packets_per_slot,calibration_status
unsw_nb15_tuned_baseline_envelopes,never_default,default,adversarial_explanation_flood,never_explain,1,5000,0.0,0.014399999999999982,0.7488,0.0,0.0,0.0,29532.104111224853,0.0,0.0,0.0,0.0,0.0,0.8021145839824533,0.0,0.0,12.146,44.9324,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/unsw_nb15/unsw_nb15_score_stream.csv
unsw_nb15_tuned_baseline_envelopes,never_default,default,transient_overload,never_explain,1,5000,0.24565893539500577,1.0248884615384763,53.2942,0.0,0.0,0.0,20529.574796655183,0.0,0.0,0.0,0.0,0.0,0.19965638792618257,0.0,0.0,10.1248,56.265,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/unsw_nb15/unsw_nb15_score_stream.csv
unsw_nb15_tuned_baseline_envelopes,never_default,default,non_markovian,never_explain,1,5000,0.13447287600143665,1.2834923076923226,66.7416,0.0,0.0,0.0,18104.10235086732,0.0,0.0,0.0,0.0,0.0,0.13011163315717655,0.0,0.0,9.2508,54.5716,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/unsw_nb15/unsw_nb15_score_stream.csv
unsw_nb15_tuned_baseline_envelopes,never_default,default,rtt_uncertainty,never_explain,1,5000,0.0,0.014765384615384593,0.7678,0.0,0.0,0.0,12272.402858928863,0.0,0.0,0.0,0.0,0.0,0.0805284424736572,0.0,0.0,7.303,45.0582,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/unsw_nb15/unsw_nb15_score_stream.csv
unsw_nb15_tuned_baseline_envelopes,never_default,default,adversarial_explanation_flood,never_explain,2,5000,0.0,0.014849999999999997,0.7722,0.0,0.0,0.0,29545.183590208595,0.0,0.0,0.0,0.0,0.0,0.8009478672985773,0.0,0.0,12.1752,45.0696,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/unsw_nb15/unsw_nb15_score_stream.csv
unsw_nb15_tuned_baseline_envelopes,never_default,default,transient_overload,never_explain,2,5000,0.24563855284587538,1.0245269230769387,53.2754,0.0,0.0,0.0,20944.336658567267,0.0,0.0,0.0,0.0,0.0,0.21195957527007891,0.0,0.0,10.2246,56.2428,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/unsw_nb15/unsw_nb15_score_stream.csv
unsw_nb15_tuned_baseline_envelopes,never_default,default,non_markovian,never_explain,2,5000,0.13578120769022475,1.271180769230783,66.1014,0.0,0.0,0.0,18641.780048046618,0.0,0.0,0.0,0.0,0.0,0.1331949333574054,0.0,0.0,9.416,55.395,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/unsw_nb15/unsw_nb15_score_stream.csv
unsw_nb15_tuned_baseline_envelopes,never_default,default,rtt_uncertainty,never_explain,2,5000,0.0,0.014076923076923067,0.732,0.0,0.0,0.0,12340.232709114205,0.0,0.0,0.0,0.0,0.0,0.0817158005230676,0.0,0.0,7.296,44.9656,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/unsw_nb15/unsw_nb15_score_stream.csv
unsw_nb15_tuned_baseline_envelopes,never_default,default,adversarial_explanation_flood,never_explain,3,5000,0.0,0.015807692307692297,0.822,0.0,0.0,0.0,29522.326630052703,0.0,0.0,0.0,0.0,0.0,0.8017825724123733,0.0,0.0,12.1556,44.9762,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/unsw_nb15/unsw_nb15_score_stream.csv
unsw_nb15_tuned_baseline_envelopes,never_default,default,transient_overload,never_explain,3,5000,0.24663551235807318,1.0238230769230925,53.2388,0.0,0.0,0.0,20815.65884653903,0.0,0.0,0.0,0.0,0.0,0.20352766277533885,0.0,0.0,10.16,56.279,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/unsw_nb15/unsw_nb15_score_stream.csv
unsw_nb15_tuned_baseline_envelopes,never_default,default,non_markovian,never_explain,3,5000,0.13617245384565438,1.4080192307692456,73.217,0.0,0.0,0.0,18617.70564156545,0.0,0.0,0.0,0.0,0.0,0.1313916884903319,0.0,0.0,9.4094,55.4444,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/unsw_nb15/unsw_nb15_score_stream.csv
unsw_nb15_tuned_baseline_envelopes,never_default,default,rtt_uncertainty,never_explain,3,5000,0.0,0.014534615384615389,0.7558,0.0,0.0,0.0,12044.505862636483,0.0,0.0,0.0,0.0,0.0,0.07299035035783952,0.0,0.0,7.231,44.9274,calibrated:/Users/let/Documents/DO_A_PAPER_May_18/Papers/Paper_xAI_in_Cyber_2/6_Analysis_Results/xai_surfacebench/data/unsw_nb15/unsw_nb15_score_stream.csv
