stage,variant,ablation,regime,policy,seed_count,ci95_alerts_per_slot,ci95_attacker_trigger_gain,ci95_audit_rate,ci95_budget_violation_rate,ci95_explanation_coverage,ci95_exposure_budget_violation_rate,ci95_exposure_use,ci95_high_risk_explanation_coverage,ci95_local_compute_load,ci95_mean_explanation_debt,ci95_mean_explanation_delay,ci95_mean_packet_delay,ci95_mean_packet_queue,ci95_offload_rate,ci95_packet_drop_rate,ci95_packets_per_slot,ci95_redaction_rate,mean_alerts_per_slot,mean_attacker_trigger_gain,mean_audit_rate,mean_budget_violation_rate,mean_explanation_coverage,mean_exposure_budget_violation_rate,mean_exposure_use,mean_high_risk_explanation_coverage,mean_local_compute_load,mean_mean_explanation_debt,mean_mean_explanation_delay,mean_mean_packet_delay,mean_mean_packet_queue,mean_offload_rate,mean_packet_drop_rate,mean_packets_per_slot,mean_redaction_rate
unsw_nb15_tuned_baseline_envelopes,always_default,default,adversarial_explanation_flood,always_explain,20,0.020990157569981103,0.0022683468076888486,0.0,0.0011305578166737446,0.0,0.0009894858803279718,0.004956009426244428,0.0,0.020990157569981103,0.0,1.189876521952235e-15,0.0005657159556846964,0.028975024340514043,0.0,0.0,0.03405405516447683,0.0,12.14704,0.7998225909393095,0.0,0.04052,1.0,0.65124,2.8680511111108475,1.0,12.14704,0.0,0.8499999999999218,0.02001655860530419,1.0243186000000009,0.0,0.0,44.99338,0.0
unsw_nb15_tuned_baseline_envelopes,always_default,default,non_markovian,always_explain,20,0.02783017796852901,0.00199124489401576,0.0,0.0007440259135272098,0.0,0.0030565252497084445,0.006571014242567531,0.0,0.02783017796852901,0.0,1.3551240239351264e-15,0.023387046463117785,1.2052664894050973,0.0,0.0006655108358869513,0.12373962232926641,0.0,9.33316,0.13032728642034805,0.0,0.09561,1.0,0.54521,2.2036627777776547,1.0,9.33316,0.0,0.8499999999999526,1.312718454447978,67.15831585000001,0.0,0.13904783592209302,55.04684999999999,0.0
unsw_nb15_tuned_baseline_envelopes,always_default,default,rtt_uncertainty,always_explain,20,0.02001054161848858,0.002389677201494618,0.0,0.00010361593049638448,0.0,0.0017088303762330655,0.004724711215475725,0.0,0.02001054161848858,0.0,1.1806775947869436e-15,0.00045324794313852956,0.023337465615366638,0.0,0.0,0.038881718876775696,0.0,7.286060000000001,0.07959334050839044,0.0,0.00027,1.0,0.41856,1.720319722222148,1.0,7.286060000000001,0.0,0.8499999999999635,0.01781001974126508,0.9172121500000001,0.0,0.0,44.99241,0.0
unsw_nb15_tuned_baseline_envelopes,always_default,default,transient_overload,always_explain,20,0.019627264237279757,0.002004367620177224,0.0,0.0008116114133720576,0.0,0.0004919766447173741,0.00463421516713506,0.0,0.019627264237279757,0.0,1.6434786779226126e-15,0.0005001167070571242,0.02476790996969696,0.0,0.0004095791065083318,0.0597661784574026,0.0,10.11152,0.20054331693689376,0.0,0.19861,1.0,0.52547,2.3874422222220617,1.0,10.11152,0.0,0.8499999999999428,1.0524892758134912,53.29781644999999,0.0,0.2501422692040798,56.149710000000006,0.0
unsw_nb15_tuned_baseline_envelopes,bexgov_pressure_0.55,default,adversarial_explanation_flood,budget_only_bexgov,20,0.020860720371877986,0.0027224377800315613,0.001218215767189679,0.0,0.0003787004535649823,0.0,0.0003767730379945175,0.0003033802913713199,0.007859319034543302,40.3828920399052,0.00042873421345134363,0.0004540463690933946,0.023422315941782658,0.0,0.0,0.03132917803763263,0.001232565128305186,12.16964,0.8012668998155401,0.6736180173170878,0.0,0.5924713196602274,0.0,0.9066761111111246,0.7352396763608043,6.161895799999877,8037.2278677960685,0.5639239245291591,0.017615479865006563,0.9086618690000009,0.0,0.0,45.041019999999996,0.0981545836443817
unsw_nb15_tuned_baseline_envelopes,bexgov_pressure_0.55,default,non_markovian,budget_only_bexgov,20,0.026728534709281392,0.0023607102438437714,0.0011010374635572451,0.00022910344250670053,0.000690264338870532,0.0,0.00197004002702879,0.0006002992637322008,0.012320315797931618,55.50915921915921,0.000691274263733665,0.02040525548633061,1.057193413014435,0.0,0.0009631594673705173,0.08310131152552966,0.0,9.30565,0.12823015036901847,0.5457687131863482,0.00178,0.45158480034549064,0.0,0.5638954722222734,0.6645858467345257,3.5978356000000558,5966.8108660957605,0.43125419401424364,1.2617786492186853,65.16810872999997,0.0,0.13667177175460293,54.9865,0.0
unsw_nb15_tuned_baseline_envelopes,bexgov_pressure_0.55,default,rtt_uncertainty,budget_only_bexgov,20,0.016635850224202733,0.0024514298501522613,0.0012760638282777118,0.0,0.0008036881036745173,0.0,0.0016024637122450988,0.0004931086525246415,0.009616286891951247,29.344428781386863,0.0007731653821286736,0.0005030114317588142,0.026066491759477353,0.0,0.0,0.04104659999623022,0.0,7.28343,0.07934822025625506,0.5323210775685716,0.0,0.4558525144561127,0.0,0.44821902777780265,0.6741262687235431,2.839811000000041,2538.220600728499,0.42440238625443366,0.015750375896095004,0.8159456030000001,0.0,0.0,44.98668,0.0
unsw_nb15_tuned_baseline_envelopes,bexgov_pressure_0.55,default,transient_overload,budget_only_bexgov,20,0.02066641422496639,0.0020320529825432953,0.0009234325861493247,9.204204988682302e-05,0.0005915370694285069,0.0,0.0011706994746287966,0.0005091719804114598,0.007296660409338239,50.496391626522396,0.0005848694350982624,0.000548372296231614,0.02786730238113166,0.0,0.0005232540028975129,0.055943485373534836,0.0,10.14396,0.20409482133758178,0.5707511653202427,0.00020999999999999998,0.45944287392593647,0.0,0.624989444444507,0.6648016597682653,3.9993062000000017,7260.843794162254,0.44668772157206443,1.0368988130316825,53.31666887600001,0.0,0.24768438744171523,56.16364,0.0
unsw_nb15_tuned_baseline_envelopes,bexgov_pressure_0.72,default,adversarial_explanation_flood,budget_only_bexgov,20,0.018438193010219497,0.0025227828904567304,0.0012246731182773533,1.96e-05,0.00044892226972023766,0.0,0.00036309347626215313,0.00024186531490799954,0.007424421961199597,35.05141981641388,0.00044908197473593535,0.0005181157887223397,0.02674547677924865,0.0,0.0,0.04433161509541936,0.0012149102921169593,12.14738,0.8002727539317471,0.6722884763376836,1e-05,0.5941749074264492,0.0,0.9071172222222369,0.7367390246379442,6.167215999999878,7933.81161973571,0.5642874359341309,0.017153544059125787,0.8847588860000013,0.0,0.0,44.98355,0.10005125006886015
unsw_nb15_tuned_baseline_envelopes,bexgov_pressure_0.72,default,non_markovian,budget_only_bexgov,20,0.04039192398810738,0.002932539895614994,0.0007912576562700443,0.00033540754785468785,0.000706313789240983,0.0,0.0026592587137474113,0.00045502149483688594,0.017091347230050655,74.49886303329491,0.0006785883641454342,0.024088072424211616,1.2473813786868087,0.0,0.0008386894558813019,0.13659004617678727,0.0,9.30687,0.12928970326138148,0.5459655521538488,0.0017399999999999998,0.457940799216364,0.0,0.5739738888889434,0.672109887074566,3.6489950000000584,5793.331184509964,0.4320633693566894,1.2565339545600867,64.88244574700002,0.0,0.13727502984040668,54.941520000000004,0.0
