rank,variant,feasible_zero_exposure_violation,high_risk_coverage,mean_debt,exposure_use,exposure_violation,local_load
1,high_exposure_budget,True,0.8347099434764829,1018.68357248128,0.948582659091086,0.0,7.126361199999205
2,suspicion_strict,True,0.816726363329531,1666.371610435061,0.9878631666668876,0.0,7.359259199998884
3,exposure_strict,True,0.8131872232261086,1608.9784425795228,0.9873990277779905,0.0,7.184296199998981
4,balanced_coverage,True,0.8115467057485637,1209.7426929289923,0.9866245555557634,0.0,7.09410079999904
5,high_local_budget,True,0.8094054221105047,981.0369943485133,0.967528138889042,0.0,6.848934999999249
6,rtt_strict,True,0.808293379878449,1542.849218517753,0.9936540000002386,0.0,7.095842999999031
7,coverage_heavy_budget20,True,0.8052177084896547,1240.112220347795,0.9848054722224235,0.0,6.84429359999919
8,coverage_heavy,True,0.8014698716815662,1515.19684163836,0.9968709722224194,0.0,6.914743499998087
9,xai_default,True,0.8005462627818847,1549.7854814955494,0.994995694444686,0.0,6.834155399999206
10,debt_strict,True,0.7965462750509461,1481.6022164383594,0.9993083055556717,0.0,6.901404199996152
